timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:39:15.890, 210 MHz, 54, 5.36 W, 6 %
2026/08/28 23:39:16.916, 2550 MHz, 61, 51.10 W, 100 %
2026/08/28 23:39:17.942, 2055 MHz, 62, 47.05 W, 100 %
2026/08/28 23:39:18.963, 2220 MHz, 61, 52.20 W, 100 %
2026/08/28 23:39:19.992, 2295 MHz, 62, 53.95 W, 100 %
2026/08/28 23:39:21.019, 2340 MHz, 63, 55.21 W, 97 %
2026/08/28 23:39:22.054, 2355 MHz, 66, 57.10 W, 98 %
2026/08/28 23:39:23.081, 2385 MHz, 67, 58.13 W, 97 %
2026/08/28 23:39:24.110, 2505 MHz, 65, 59.08 W, 100 %
2026/08/28 23:39:25.138, 2550 MHz, 65, 60.48 W, 100 %
2026/08/28 23:39:26.166, 2550 MHz, 65, 60.32 W, 100 %
2026/08/28 23:39:27.197, 2535 MHz, 65, 60.44 W, 100 %
2026/08/28 23:39:28.218, 2535 MHz, 65, 59.34 W, 100 %
2026/08/28 23:39:29.245, 2535 MHz, 65, 59.92 W, 100 %
2026/08/28 23:39:30.269, 2430 MHz, 68, 60.18 W, 95 %
