timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 16:36:55.416, 210 MHz, 49, 1.93 W, 0 %
2026/08/28 16:36:56.419, 210 MHz, 50, 19.97 W, 98 %
2026/08/28 16:36:57.422, 990 MHz, 52, 24.67 W, 100 %
2026/08/28 16:36:58.424, 1305 MHz, 53, 27.42 W, 99 %
2026/08/28 16:36:59.425, 1665 MHz, 56, 39.52 W, 100 %
2026/08/28 16:37:00.428, 2130 MHz, 57, 46.97 W, 100 %
2026/08/28 16:37:01.433, 2220 MHz, 59, 45.52 W, 100 %
2026/08/28 16:37:02.435, 2175 MHz, 59, 49.53 W, 100 %
2026/08/28 16:37:03.437, 2355 MHz, 60, 50.64 W, 100 %
2026/08/28 16:37:04.439, 2145 MHz, 61, 48.30 W, 99 %
2026/08/28 16:37:05.440, 2250 MHz, 63, 53.11 W, 99 %
2026/08/28 16:37:06.442, 2295 MHz, 64, 55.17 W, 99 %
2026/08/28 16:37:07.443, 2355 MHz, 64, 57.32 W, 98 %
2026/08/28 16:37:08.445, 2370 MHz, 65, 59.47 W, 99 %
2026/08/28 16:37:09.448, 2385 MHz, 66, 60.37 W, 99 %
2026/08/28 16:37:10.450, 2625 MHz, 66, 61.09 W, 100 %
2026/08/28 16:37:11.454, 2610 MHz, 65, 60.94 W, 100 %
2026/08/28 16:37:12.458, 2640 MHz, 65, 62.94 W, 100 %
2026/08/28 16:37:13.464, 2655 MHz, 66, 63.04 W, 100 %
2026/08/28 16:37:14.467, 2655 MHz, 67, 63.42 W, 100 %
2026/08/28 16:37:15.470, 2640 MHz, 66, 64.26 W, 100 %
2026/08/28 16:37:16.473, 2640 MHz, 66, 63.57 W, 100 %
2026/08/28 16:37:17.476, 2610 MHz, 67, 63.71 W, 100 %
2026/08/28 16:37:18.479, 2655 MHz, 67, 63.28 W, 100 %
2026/08/28 16:37:19.481, 2415 MHz, 66, 64.16 W, 98 %
2026/08/28 16:37:20.484, 2415 MHz, 68, 64.34 W, 99 %
2026/08/28 16:37:21.487, 2430 MHz, 69, 63.79 W, 98 %
