timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:33:53.202, 210 MHz, 50, 3.93 W, 7 %
2026/08/28 23:33:54.234, 345 MHz, 50, 53.22 W, 98 %
2026/08/28 23:33:55.249, 2145 MHz, 58, 46.88 W, 100 %
2026/08/28 23:33:56.254, 2100 MHz, 59, 47.58 W, 100 %
2026/08/28 23:33:57.264, 2235 MHz, 59, 51.93 W, 100 %
2026/08/28 23:33:58.302, 2250 MHz, 59, 55.05 W, 100 %
2026/08/28 23:33:59.340, 2295 MHz, 60, 57.86 W, 100 %
2026/08/28 23:34:00.378, 2310 MHz, 61, 59.51 W, 100 %
2026/08/28 23:34:01.446, 2310 MHz, 64, 60.10 W, 98 %
2026/08/28 23:34:02.461, 2310 MHz, 64, 60.04 W, 97 %
2026/08/28 23:34:03.464, 2295 MHz, 64, 60.02 W, 98 %
2026/08/28 23:34:04.467, 2325 MHz, 65, 62.03 W, 98 %
2026/08/28 23:34:05.480, 2340 MHz, 65, 62.17 W, 98 %
2026/08/28 23:34:06.514, 2445 MHz, 66, 62.67 W, 98 %
2026/08/28 23:34:07.547, 2445 MHz, 64, 62.19 W, 100 %
2026/08/28 23:34:08.579, 2445 MHz, 64, 61.86 W, 100 %
2026/08/28 23:34:09.612, 2415 MHz, 65, 61.36 W, 100 %
2026/08/28 23:34:10.627, 2415 MHz, 64, 62.69 W, 100 %
2026/08/28 23:34:11.633, 2445 MHz, 65, 62.35 W, 100 %
2026/08/28 23:34:12.637, 2430 MHz, 65, 62.49 W, 100 %
2026/08/28 23:34:13.657, 2385 MHz, 65, 62.24 W, 100 %
2026/08/28 23:34:14.695, 2445 MHz, 65, 62.27 W, 100 %
2026/08/28 23:34:15.729, 2325 MHz, 67, 62.72 W, 98 %
2026/08/28 23:34:16.764, 2325 MHz, 67, 63.52 W, 97 %
2026/08/28 23:34:17.220, 2295 MHz, 68, 61.31 W, 98 %
