timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 16:31:26.146, 210 MHz, 51, 2.13 W, 0 %
2026/08/28 16:31:27.151, 945 MHz, 53, 25.42 W, 99 %
2026/08/28 16:31:28.152, 1230 MHz, 55, 21.38 W, 98 %
2026/08/28 16:31:29.154, 1530 MHz, 55, 33.69 W, 100 %
2026/08/28 16:31:30.156, 2010 MHz, 56, 44.83 W, 100 %
2026/08/28 16:31:31.159, 2415 MHz, 59, 45.60 W, 100 %
2026/08/28 16:31:32.161, 2370 MHz, 61, 45.18 W, 99 %
2026/08/28 16:31:33.162, 2280 MHz, 63, 47.06 W, 99 %
2026/08/28 16:31:34.166, 2295 MHz, 63, 50.07 W, 99 %
2026/08/28 16:31:35.172, 2535 MHz, 62, 53.13 W, 100 %
2026/08/28 16:31:36.174, 2595 MHz, 63, 54.68 W, 100 %
2026/08/28 16:31:37.176, 2640 MHz, 63, 55.93 W, 100 %
2026/08/28 16:31:38.178, 2715 MHz, 64, 56.23 W, 100 %
2026/08/28 16:31:39.181, 2715 MHz, 64, 56.28 W, 100 %
2026/08/28 16:31:40.182, 2715 MHz, 64, 56.83 W, 100 %
2026/08/28 16:31:41.185, 2715 MHz, 65, 56.71 W, 100 %
2026/08/28 16:31:42.188, 2475 MHz, 68, 60.06 W, 98 %
