timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:52:06.965, 210 MHz, 52, 4.14 W, 14 %
2026/08/28 23:52:07.984, 210 MHz, 52, 5.11 W, 47 %
2026/08/28 23:52:08.550, 2100 MHz, 58, 46.43 W, 99 %
2026/08/28 23:52:09.567, 2055 MHz, 59, 47.40 W, 100 %
2026/08/28 23:52:10.588, 2145 MHz, 60, 50.69 W, 100 %
2026/08/28 23:52:11.630, 2145 MHz, 62, 49.67 W, 100 %
2026/08/28 23:52:12.647, 2280 MHz, 62, 53.85 W, 99 %
2026/08/28 23:52:13.663, 2250 MHz, 62, 52.72 W, 100 %
2026/08/28 23:52:14.679, 2190 MHz, 62, 52.99 W, 100 %
2026/08/28 23:52:15.700, 2295 MHz, 63, 57.07 W, 100 %
2026/08/28 23:52:16.716, 2340 MHz, 64, 56.71 W, 100 %
2026/08/28 23:52:17.736, 2325 MHz, 64, 58.94 W, 100 %
2026/08/28 23:52:18.753, 2385 MHz, 65, 60.89 W, 100 %
2026/08/28 23:52:19.772, 2385 MHz, 66, 61.21 W, 100 %
2026/08/28 23:52:20.790, 2445 MHz, 66, 62.27 W, 100 %
2026/08/28 23:52:21.808, 2430 MHz, 66, 63.12 W, 100 %
2026/08/28 23:52:22.826, 2445 MHz, 67, 63.58 W, 100 %
2026/08/28 23:52:23.847, 2460 MHz, 68, 64.22 W, 100 %
2026/08/28 23:52:24.865, 2445 MHz, 68, 63.53 W, 99 %
2026/08/28 23:52:25.883, 2445 MHz, 68, 64.80 W, 99 %
2026/08/28 23:52:26.901, 2415 MHz, 68, 64.51 W, 100 %
2026/08/28 23:52:27.921, 2520 MHz, 68, 63.03 W, 99 %
2026/08/28 23:52:28.943, 2460 MHz, 68, 63.33 W, 99 %
2026/08/28 23:52:29.962, 2430 MHz, 69, 63.87 W, 99 %
2026/08/28 23:52:30.980, 2430 MHz, 69, 63.04 W, 99 %
2026/08/28 23:52:31.998, 2385 MHz, 69, 62.77 W, 99 %
2026/08/28 23:52:33.018, 2430 MHz, 69, 63.28 W, 100 %
2026/08/28 23:52:34.045, 2430 MHz, 69, 62.87 W, 99 %
2026/08/28 23:52:35.061, 2445 MHz, 69, 63.35 W, 99 %
2026/08/28 23:52:36.079, 2445 MHz, 69, 63.36 W, 100 %
2026/08/28 23:52:37.097, 2445 MHz, 69, 63.84 W, 99 %
2026/08/28 23:52:38.118, 2460 MHz, 70, 64.42 W, 100 %
2026/08/28 23:52:39.137, 2445 MHz, 69, 62.30 W, 100 %
2026/08/28 23:52:40.153, 2400 MHz, 69, 60.79 W, 100 %
2026/08/28 23:52:40.701, 2385 MHz, 68, 62.44 W, 100 %
2026/08/28 23:52:41.720, 2400 MHz, 69, 62.45 W, 100 %
2026/08/28 23:52:42.738, 2430 MHz, 69, 61.92 W, 100 %
2026/08/28 23:52:43.755, 2400 MHz, 68, 62.76 W, 100 %
2026/08/28 23:52:44.778, 2385 MHz, 68, 62.82 W, 100 %
2026/08/28 23:52:45.831, 2385 MHz, 68, 62.47 W, 100 %
2026/08/28 23:52:46.852, 2400 MHz, 68, 61.03 W, 100 %
2026/08/28 23:52:47.871, 2430 MHz, 69, 59.40 W, 100 %
2026/08/28 23:52:48.890, 2355 MHz, 67, 57.00 W, 100 %
2026/08/28 23:52:49.908, 2370 MHz, 68, 58.49 W, 100 %
2026/08/28 23:52:50.926, 2355 MHz, 68, 62.54 W, 100 %
2026/08/28 23:52:51.946, 2415 MHz, 69, 60.70 W, 100 %
2026/08/28 23:52:52.963, 2370 MHz, 68, 63.32 W, 100 %
2026/08/28 23:52:53.983, 2370 MHz, 68, 63.19 W, 100 %
2026/08/28 23:52:55.003, 2370 MHz, 68, 58.63 W, 100 %
2026/08/28 23:52:56.022, 2340 MHz, 68, 59.29 W, 100 %
2026/08/28 23:52:57.046, 2355 MHz, 69, 60.01 W, 100 %
2026/08/28 23:52:58.065, 2370 MHz, 68, 60.92 W, 100 %
2026/08/28 23:52:59.081, 2370 MHz, 69, 61.99 W, 100 %
2026/08/28 23:53:00.099, 2400 MHz, 70, 62.70 W, 100 %
2026/08/28 23:53:01.121, 2445 MHz, 70, 61.62 W, 99 %
2026/08/28 23:53:02.140, 2430 MHz, 70, 67.18 W, 100 %
2026/08/28 23:53:03.160, 2430 MHz, 70, 61.24 W, 98 %
2026/08/28 23:53:04.183, 2415 MHz, 70, 62.87 W, 100 %
2026/08/28 23:53:05.200, 2460 MHz, 70, 62.74 W, 99 %
2026/08/28 23:53:06.219, 2415 MHz, 70, 63.20 W, 99 %
2026/08/28 23:53:07.239, 2445 MHz, 71, 62.72 W, 100 %
