timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:58:15.947, 210 MHz, 50, 2.48 W, 0 %
2026/08/28 23:58:16.965, 2730 MHz, 58, 58.40 W, 98 %
2026/08/28 23:58:17.983, 2190 MHz, 58, 50.88 W, 100 %
2026/08/28 23:58:19.002, 2295 MHz, 59, 53.65 W, 100 %
2026/08/28 23:58:20.026, 2340 MHz, 60, 56.73 W, 100 %
2026/08/28 23:58:21.043, 2445 MHz, 61, 59.62 W, 100 %
2026/08/28 23:58:22.060, 2460 MHz, 61, 60.22 W, 100 %
2026/08/28 23:58:23.078, 2505 MHz, 62, 61.12 W, 100 %
2026/08/28 23:58:24.118, 2520 MHz, 63, 64.87 W, 100 %
2026/08/28 23:58:25.154, 2535 MHz, 63, 64.37 W, 100 %
2026/08/28 23:58:26.172, 2550 MHz, 64, 64.16 W, 100 %
2026/08/28 23:58:27.196, 2550 MHz, 63, 63.64 W, 100 %
2026/08/28 23:58:28.218, 2535 MHz, 64, 63.72 W, 100 %
2026/08/28 23:58:29.235, 2535 MHz, 64, 63.65 W, 100 %
2026/08/28 23:58:30.252, 2565 MHz, 64, 63.67 W, 100 %
2026/08/28 23:58:31.269, 2505 MHz, 66, 64.07 W, 100 %
2026/08/28 23:58:32.286, 2550 MHz, 65, 63.80 W, 100 %
2026/08/28 23:58:32.865, 2550 MHz, 65, 63.85 W, 100 %
2026/08/28 23:58:33.881, 2565 MHz, 66, 63.85 W, 100 %
2026/08/28 23:58:34.898, 2535 MHz, 66, 63.57 W, 99 %
2026/08/28 23:58:35.916, 2550 MHz, 66, 64.04 W, 100 %
2026/08/28 23:58:36.939, 2565 MHz, 67, 64.43 W, 100 %
2026/08/28 23:58:37.957, 2505 MHz, 66, 63.45 W, 100 %
2026/08/28 23:58:38.974, 2520 MHz, 67, 62.68 W, 100 %
2026/08/28 23:58:39.998, 2445 MHz, 66, 62.30 W, 100 %
2026/08/28 23:58:41.017, 2505 MHz, 66, 63.17 W, 100 %
2026/08/28 23:58:42.041, 2520 MHz, 66, 63.64 W, 100 %
2026/08/28 23:58:43.058, 2505 MHz, 67, 63.90 W, 100 %
2026/08/28 23:58:44.075, 2490 MHz, 67, 60.84 W, 100 %
2026/08/28 23:58:45.094, 2535 MHz, 67, 63.36 W, 100 %
2026/08/28 23:58:46.112, 2520 MHz, 67, 63.91 W, 99 %
2026/08/28 23:58:47.130, 2475 MHz, 67, 63.61 W, 100 %
2026/08/28 23:58:48.153, 2460 MHz, 67, 63.73 W, 100 %
2026/08/28 23:58:49.177, 2460 MHz, 67, 63.39 W, 100 %
2026/08/28 23:58:50.194, 2535 MHz, 67, 62.28 W, 100 %
