timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:56:34.826, 210 MHz, 49, 2.34 W, 0 %
2026/08/28 23:56:35.839, 2415 MHz, 56, 57.05 W, 98 %
2026/08/28 23:56:36.853, 2250 MHz, 58, 54.51 W, 99 %
2026/08/28 23:56:37.889, 2190 MHz, 58, 54.36 W, 100 %
2026/08/28 23:56:38.907, 2295 MHz, 59, 54.33 W, 100 %
2026/08/28 23:56:39.925, 2235 MHz, 59, 56.94 W, 99 %
2026/08/28 23:56:40.944, 2310 MHz, 62, 59.65 W, 98 %
2026/08/28 23:56:41.962, 2295 MHz, 63, 61.59 W, 98 %
2026/08/28 23:56:42.979, 2355 MHz, 64, 63.57 W, 97 %
2026/08/28 23:56:43.996, 2475 MHz, 64, 64.68 W, 100 %
2026/08/28 23:56:45.014, 2460 MHz, 63, 64.78 W, 100 %
2026/08/28 23:56:46.036, 2490 MHz, 64, 64.18 W, 100 %
2026/08/28 23:56:47.053, 2445 MHz, 64, 63.80 W, 100 %
2026/08/28 23:56:48.070, 2460 MHz, 64, 63.58 W, 100 %
2026/08/28 23:56:49.088, 2445 MHz, 64, 62.73 W, 100 %
2026/08/28 23:56:50.115, 2355 MHz, 66, 63.43 W, 97 %
