timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 18:25:25.752, 210 MHz, 52, 2.08 W, 0 %
2026/08/28 18:25:26.757, 2055 MHz, 52, 58.33 W, 98 %
2026/08/28 18:25:27.759, 2160 MHz, 61, 50.68 W, 100 %
2026/08/28 18:25:28.765, 2235 MHz, 61, 53.49 W, 100 %
2026/08/28 18:25:29.782, 2310 MHz, 62, 56.30 W, 100 %
2026/08/28 18:25:30.799, 2235 MHz, 64, 58.24 W, 98 %
2026/08/28 18:25:31.801, 2295 MHz, 65, 60.21 W, 98 %
2026/08/28 18:25:32.804, 2295 MHz, 66, 61.64 W, 98 %
2026/08/28 18:25:33.807, 2325 MHz, 66, 62.13 W, 98 %
2026/08/28 18:25:34.811, 2385 MHz, 67, 62.82 W, 100 %
2026/08/28 18:25:35.814, 2385 MHz, 65, 62.98 W, 100 %
2026/08/28 18:25:36.817, 2415 MHz, 66, 62.85 W, 100 %
2026/08/28 18:25:37.819, 2370 MHz, 66, 62.00 W, 100 %
2026/08/28 18:25:38.823, 2385 MHz, 66, 62.41 W, 100 %
2026/08/28 18:25:39.827, 2430 MHz, 66, 63.01 W, 100 %
2026/08/28 18:25:40.839, 2340 MHz, 69, 62.98 W, 96 %
2026/08/28 18:25:41.844, 2355 MHz, 69, 63.25 W, 97 %
