timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 16:26:47.134, 210 MHz, 52, 2.06 W, 0 %
2026/08/28 16:26:48.136, 210 MHz, 52, 19.31 W, 100 %
2026/08/28 16:26:49.138, 1110 MHz, 55, 26.23 W, 100 %
2026/08/28 16:26:50.140, 1425 MHz, 55, 31.01 W, 100 %
2026/08/28 16:26:51.143, 1845 MHz, 57, 40.83 W, 100 %
2026/08/28 16:26:52.148, 2385 MHz, 60, 47.57 W, 100 %
2026/08/28 16:26:53.154, 2400 MHz, 60, 47.52 W, 99 %
2026/08/28 16:26:54.157, 2205 MHz, 63, 48.38 W, 100 %
2026/08/28 16:26:55.160, 2370 MHz, 62, 49.39 W, 100 %
2026/08/28 16:26:56.162, 2355 MHz, 62, 50.65 W, 100 %
2026/08/28 16:26:57.164, 2445 MHz, 63, 53.84 W, 100 %
2026/08/28 16:26:58.167, 2505 MHz, 64, 56.18 W, 100 %
2026/08/28 16:26:59.169, 2505 MHz, 64, 55.24 W, 100 %
2026/08/28 16:27:00.171, 2610 MHz, 66, 57.11 W, 100 %
2026/08/28 16:27:01.174, 2685 MHz, 65, 57.44 W, 100 %
2026/08/28 16:27:02.176, 2670 MHz, 65, 56.30 W, 100 %
2026/08/28 16:27:03.178, 2700 MHz, 67, 56.14 W, 100 %
2026/08/28 16:27:04.182, 2715 MHz, 66, 58.04 W, 100 %
2026/08/28 16:27:05.185, 2715 MHz, 67, 58.23 W, 100 %
2026/08/28 16:27:06.188, 2715 MHz, 67, 58.03 W, 100 %
2026/08/28 16:27:07.190, 2685 MHz, 67, 58.57 W, 100 %
2026/08/28 16:27:08.192, 2715 MHz, 68, 58.29 W, 100 %
2026/08/28 16:27:09.195, 2715 MHz, 67, 57.75 W, 100 %
2026/08/28 16:27:10.199, 2715 MHz, 69, 63.06 W, 99 %
2026/08/28 16:27:11.202, 2445 MHz, 70, 61.13 W, 99 %
2026/08/28 16:27:12.205, 2490 MHz, 70, 63.25 W, 99 %
2026/08/28 16:27:13.208, 2475 MHz, 71, 62.84 W, 99 %
2026/08/28 16:27:14.211, 2490 MHz, 71, 63.82 W, 100 %
2026/08/28 16:27:15.214, 2520 MHz, 71, 64.06 W, 99 %
2026/08/28 16:27:16.217, 2490 MHz, 72, 64.24 W, 99 %
2026/08/28 16:27:17.220, 2490 MHz, 72, 63.89 W, 100 %
2026/08/28 16:27:18.231, 2490 MHz, 72, 64.34 W, 99 %
2026/08/28 16:27:19.234, 2475 MHz, 72, 63.08 W, 99 %
2026/08/28 16:27:20.236, 2490 MHz, 72, 63.30 W, 99 %
2026/08/28 16:27:21.238, 2475 MHz, 72, 63.82 W, 100 %
2026/08/28 16:27:22.243, 2535 MHz, 72, 64.85 W, 99 %
2026/08/28 16:27:23.246, 2550 MHz, 72, 63.90 W, 99 %
2026/08/28 16:27:24.249, 2475 MHz, 72, 64.01 W, 99 %
2026/08/28 16:27:25.253, 2700 MHz, 70, 58.91 W, 100 %
2026/08/28 16:27:26.255, 2700 MHz, 69, 59.32 W, 100 %
2026/08/28 16:27:27.257, 2700 MHz, 69, 59.07 W, 100 %
2026/08/28 16:27:28.260, 2700 MHz, 69, 60.27 W, 100 %
2026/08/28 16:27:29.262, 2700 MHz, 69, 58.91 W, 100 %
2026/08/28 16:27:30.265, 2685 MHz, 70, 58.46 W, 100 %
2026/08/28 16:27:31.274, 2700 MHz, 69, 58.20 W, 100 %
2026/08/28 16:27:32.281, 2700 MHz, 70, 58.85 W, 100 %
2026/08/28 16:27:33.284, 2685 MHz, 69, 58.95 W, 100 %
2026/08/28 16:27:34.285, 2700 MHz, 69, 58.92 W, 100 %
2026/08/28 16:27:35.287, 2700 MHz, 69, 59.26 W, 100 %
2026/08/28 16:27:36.293, 2700 MHz, 69, 58.19 W, 100 %
2026/08/28 16:27:37.297, 2685 MHz, 69, 58.81 W, 100 %
2026/08/28 16:27:38.299, 2700 MHz, 69, 58.16 W, 100 %
2026/08/28 16:27:39.303, 2685 MHz, 70, 59.01 W, 100 %
2026/08/28 16:27:40.306, 2685 MHz, 69, 58.45 W, 100 %
2026/08/28 16:27:41.308, 2700 MHz, 70, 59.13 W, 100 %
2026/08/28 16:27:42.310, 2700 MHz, 69, 59.23 W, 100 %
2026/08/28 16:27:43.312, 2700 MHz, 69, 58.87 W, 100 %
2026/08/28 16:27:44.313, 2700 MHz, 70, 59.08 W, 100 %
2026/08/28 16:27:45.315, 2700 MHz, 69, 59.11 W, 100 %
2026/08/28 16:27:46.318, 2700 MHz, 70, 52.58 W, 100 %
2026/08/28 16:27:47.337, 2685 MHz, 69, 58.94 W, 100 %
2026/08/28 16:27:48.340, 2685 MHz, 69, 58.83 W, 100 %
2026/08/28 16:27:49.342, 2670 MHz, 70, 64.83 W, 100 %
2026/08/28 16:27:50.346, 2700 MHz, 69, 59.33 W, 100 %
2026/08/28 16:27:51.349, 2700 MHz, 70, 58.55 W, 100 %
2026/08/28 16:27:52.354, 2700 MHz, 70, 59.36 W, 100 %
2026/08/28 16:27:53.357, 2700 MHz, 69, 59.08 W, 100 %
2026/08/28 16:27:54.360, 2700 MHz, 70, 60.06 W, 100 %
2026/08/28 16:27:55.365, 2490 MHz, 72, 62.45 W, 99 %
2026/08/28 16:27:56.367, 2475 MHz, 73, 62.35 W, 100 %
2026/08/28 16:27:57.369, 2490 MHz, 73, 63.24 W, 99 %
2026/08/28 16:27:58.372, 2535 MHz, 73, 64.10 W, 100 %
2026/08/28 16:27:59.375, 2490 MHz, 73, 62.73 W, 99 %
2026/08/28 16:28:00.378, 2460 MHz, 73, 61.92 W, 99 %
2026/08/28 16:28:01.383, 2460 MHz, 73, 61.51 W, 99 %
