timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:57:21.277, 210 MHz, 50, 3.88 W, 0 %
2026/08/28 23:57:22.295, 2460 MHz, 53, 58.11 W, 98 %
2026/08/28 23:57:23.313, 1935 MHz, 57, 45.90 W, 100 %
2026/08/28 23:57:24.331, 2025 MHz, 58, 44.53 W, 100 %
2026/08/28 23:57:25.353, 2115 MHz, 59, 48.91 W, 100 %
2026/08/28 23:57:26.366, 2175 MHz, 59, 53.31 W, 100 %
2026/08/28 23:57:27.395, 2220 MHz, 60, 54.64 W, 100 %
2026/08/28 23:57:28.413, 2280 MHz, 61, 55.92 W, 100 %
2026/08/28 23:57:28.957, 2250 MHz, 63, 59.07 W, 99 %
2026/08/28 23:57:29.971, 2295 MHz, 64, 61.02 W, 99 %
2026/08/28 23:57:30.986, 2325 MHz, 65, 62.40 W, 98 %
2026/08/28 23:57:32.006, 2355 MHz, 65, 63.46 W, 98 %
2026/08/28 23:57:33.022, 2355 MHz, 65, 63.47 W, 98 %
2026/08/28 23:57:34.041, 2325 MHz, 66, 63.87 W, 98 %
2026/08/28 23:57:35.058, 2475 MHz, 64, 63.93 W, 100 %
2026/08/28 23:57:36.075, 2445 MHz, 65, 63.86 W, 100 %
2026/08/28 23:57:37.093, 2445 MHz, 65, 62.30 W, 100 %
2026/08/28 23:57:38.110, 2445 MHz, 66, 62.60 W, 100 %
2026/08/28 23:57:39.127, 2445 MHz, 66, 63.45 W, 100 %
2026/08/28 23:57:40.149, 2430 MHz, 66, 61.84 W, 100 %
2026/08/28 23:57:41.173, 2415 MHz, 65, 61.27 W, 100 %
2026/08/28 23:57:42.196, 2430 MHz, 66, 63.35 W, 100 %
2026/08/28 23:57:43.217, 2340 MHz, 67, 63.65 W, 98 %
2026/08/28 23:57:44.276, 2340 MHz, 68, 63.09 W, 98 %
2026/08/28 23:57:45.296, 2295 MHz, 68, 62.32 W, 98 %
