timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 16:25:49.897, 210 MHz, 51, 2.73 W, 0 %
2026/08/28 16:25:50.901, 915 MHz, 53, 22.67 W, 99 %
2026/08/28 16:25:51.904, 1170 MHz, 54, 25.98 W, 100 %
2026/08/28 16:25:52.907, 1530 MHz, 55, 31.03 W, 99 %
2026/08/28 16:25:53.909, 1935 MHz, 57, 43.81 W, 100 %
2026/08/28 16:25:54.917, 2235 MHz, 59, 46.71 W, 100 %
2026/08/28 16:25:55.918, 2205 MHz, 60, 45.69 W, 100 %
2026/08/28 16:25:56.921, 2235 MHz, 61, 47.31 W, 100 %
2026/08/28 16:25:57.923, 2385 MHz, 62, 50.70 W, 100 %
2026/08/28 16:25:58.925, 2250 MHz, 64, 54.44 W, 99 %
2026/08/28 16:25:59.927, 2265 MHz, 65, 56.32 W, 99 %
2026/08/28 16:26:00.930, 2295 MHz, 66, 56.59 W, 98 %
2026/08/28 16:26:01.932, 2295 MHz, 66, 58.57 W, 98 %
2026/08/28 16:26:02.936, 2310 MHz, 67, 58.38 W, 98 %
2026/08/28 16:26:03.939, 2355 MHz, 67, 60.30 W, 98 %
2026/08/28 16:26:04.941, 2640 MHz, 67, 63.11 W, 100 %
2026/08/28 16:26:05.944, 2685 MHz, 67, 63.53 W, 100 %
2026/08/28 16:26:06.947, 2640 MHz, 67, 62.56 W, 100 %
2026/08/28 16:26:07.949, 2595 MHz, 67, 61.59 W, 100 %
2026/08/28 16:26:08.952, 2655 MHz, 67, 62.07 W, 99 %
2026/08/28 16:26:09.955, 2625 MHz, 68, 62.39 W, 100 %
2026/08/28 16:26:10.957, 2625 MHz, 68, 62.67 W, 100 %
2026/08/28 16:26:11.961, 2595 MHz, 68, 61.45 W, 100 %
2026/08/28 16:26:12.963, 2610 MHz, 68, 62.24 W, 100 %
2026/08/28 16:26:13.966, 2415 MHz, 68, 62.99 W, 97 %
2026/08/28 16:26:14.968, 2355 MHz, 70, 62.76 W, 98 %
2026/08/28 16:26:15.971, 2385 MHz, 70, 62.23 W, 98 %
