timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:54:29.601, 210 MHz, 52, 4.20 W, 5 %
2026/08/28 23:54:30.620, 285 MHz, 52, 52.09 W, 98 %
2026/08/28 23:54:31.640, 2115 MHz, 59, 43.54 W, 99 %
2026/08/28 23:54:32.657, 2085 MHz, 59, 45.55 W, 100 %
2026/08/28 23:54:33.689, 2280 MHz, 60, 53.04 W, 100 %
2026/08/28 23:54:34.706, 2250 MHz, 61, 52.80 W, 99 %
2026/08/28 23:54:35.725, 2400 MHz, 62, 56.65 W, 99 %
2026/08/28 23:54:36.741, 2400 MHz, 63, 57.56 W, 100 %
2026/08/28 23:54:37.758, 2415 MHz, 63, 58.78 W, 100 %
2026/08/28 23:54:38.775, 2445 MHz, 64, 58.85 W, 99 %
2026/08/28 23:54:39.794, 2460 MHz, 64, 61.81 W, 100 %
2026/08/28 23:54:40.812, 2520 MHz, 65, 62.09 W, 100 %
2026/08/28 23:54:41.832, 2505 MHz, 65, 62.69 W, 100 %
2026/08/28 23:54:42.850, 2535 MHz, 65, 62.85 W, 100 %
2026/08/28 23:54:43.868, 2535 MHz, 66, 63.04 W, 100 %
2026/08/28 23:54:44.885, 2565 MHz, 66, 62.92 W, 100 %
2026/08/28 23:54:45.904, 2565 MHz, 66, 63.42 W, 100 %
2026/08/28 23:54:46.947, 2505 MHz, 66, 62.29 W, 100 %
2026/08/28 23:54:47.966, 2550 MHz, 66, 62.89 W, 100 %
2026/08/28 23:54:48.505, 2535 MHz, 66, 62.05 W, 100 %
2026/08/28 23:54:49.527, 2520 MHz, 66, 61.97 W, 100 %
2026/08/28 23:54:50.548, 2535 MHz, 67, 60.67 W, 100 %
