timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:59:21.347, 210 MHz, 50, 2.86 W, 0 %
2026/08/28 23:59:22.360, 375 MHz, 52, 57.67 W, 98 %
2026/08/28 23:59:23.379, 2310 MHz, 59, 51.96 W, 100 %
2026/08/28 23:59:24.392, 2400 MHz, 59, 53.91 W, 100 %
2026/08/28 23:59:25.404, 2415 MHz, 60, 56.41 W, 100 %
2026/08/28 23:59:26.420, 2445 MHz, 61, 58.45 W, 100 %
2026/08/28 23:59:27.437, 2505 MHz, 62, 60.51 W, 100 %
2026/08/28 23:59:28.451, 2535 MHz, 62, 61.82 W, 100 %
2026/08/28 23:59:29.466, 2550 MHz, 63, 62.44 W, 100 %
2026/08/28 23:59:30.508, 2535 MHz, 63, 62.63 W, 100 %
2026/08/28 23:59:31.523, 2580 MHz, 63, 61.45 W, 100 %
2026/08/28 23:59:32.539, 2505 MHz, 63, 63.28 W, 100 %
2026/08/28 23:59:33.553, 2580 MHz, 64, 63.11 W, 100 %
2026/08/28 23:59:34.565, 2580 MHz, 65, 63.85 W, 100 %
2026/08/28 23:59:35.578, 2550 MHz, 65, 63.63 W, 99 %
2026/08/28 23:59:36.590, 2505 MHz, 66, 63.37 W, 100 %
2026/08/28 23:59:37.130, 2535 MHz, 65, 63.83 W, 100 %
2026/08/28 23:59:38.141, 2505 MHz, 66, 64.72 W, 100 %
2026/08/28 23:59:39.152, 2505 MHz, 65, 62.57 W, 100 %
2026/08/28 23:59:40.183, 2520 MHz, 65, 62.49 W, 99 %
2026/08/28 23:59:41.238, 2520 MHz, 65, 62.81 W, 100 %
2026/08/28 23:59:42.255, 2550 MHz, 66, 63.14 W, 100 %
2026/08/28 23:59:43.272, 2535 MHz, 66, 63.39 W, 100 %
2026/08/28 23:59:44.289, 2565 MHz, 66, 63.53 W, 100 %
2026/08/28 23:59:45.306, 2550 MHz, 66, 63.65 W, 100 %
2026/08/28 23:59:46.324, 2520 MHz, 67, 62.83 W, 100 %
2026/08/28 23:59:47.342, 2520 MHz, 67, 62.02 W, 100 %
2026/08/28 23:59:48.360, 2445 MHz, 67, 62.43 W, 100 %
2026/08/28 23:59:49.376, 2535 MHz, 66, 63.07 W, 100 %
2026/08/28 23:59:50.400, 2535 MHz, 66, 63.03 W, 100 %
2026/08/28 23:59:51.422, 2475 MHz, 67, 63.17 W, 100 %
2026/08/28 23:59:52.448, 2535 MHz, 67, 63.97 W, 99 %
2026/08/28 23:59:53.470, 2505 MHz, 67, 64.09 W, 100 %
2026/08/28 23:59:54.492, 2535 MHz, 67, 63.60 W, 100 %
2026/08/28 23:59:55.515, 2520 MHz, 68, 64.32 W, 100 %
