timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 18:22:04.021, 210 MHz, 52, 8.71 W, 0 %
2026/08/28 18:22:05.024, 2055 MHz, 55, 30.75 W, 86 %
2026/08/28 18:22:06.026, 2085 MHz, 59, 45.80 W, 100 %
2026/08/28 18:22:07.050, 2130 MHz, 61, 51.05 W, 98 %
2026/08/28 18:22:08.064, 2295 MHz, 61, 53.34 W, 100 %
2026/08/28 18:22:09.066, 2340 MHz, 62, 54.21 W, 100 %
2026/08/28 18:22:10.074, 2370 MHz, 63, 56.07 W, 100 %
2026/08/28 18:22:11.087, 2430 MHz, 63, 57.84 W, 100 %
2026/08/28 18:22:12.088, 2475 MHz, 64, 60.05 W, 100 %
2026/08/28 18:22:13.097, 2310 MHz, 66, 61.47 W, 98 %
2026/08/28 18:22:14.101, 2325 MHz, 67, 62.94 W, 98 %
2026/08/28 18:22:15.110, 2370 MHz, 67, 63.48 W, 98 %
2026/08/28 18:22:16.113, 2370 MHz, 67, 62.92 W, 97 %
2026/08/28 18:22:17.117, 2340 MHz, 68, 63.34 W, 98 %
2026/08/28 18:22:18.120, 2325 MHz, 68, 63.41 W, 98 %
2026/08/28 18:22:19.129, 2445 MHz, 67, 62.78 W, 100 %
2026/08/28 18:22:20.133, 2535 MHz, 67, 62.91 W, 100 %
2026/08/28 18:22:21.135, 2490 MHz, 67, 62.88 W, 100 %
2026/08/28 18:22:22.137, 2490 MHz, 67, 61.96 W, 100 %
2026/08/28 18:22:23.141, 2490 MHz, 67, 63.28 W, 100 %
2026/08/28 18:22:24.150, 2490 MHz, 67, 62.29 W, 100 %
2026/08/28 18:22:25.152, 2490 MHz, 67, 60.98 W, 100 %
2026/08/28 18:22:26.154, 2460 MHz, 68, 61.59 W, 100 %
2026/08/28 18:22:27.157, 2505 MHz, 68, 62.21 W, 100 %
2026/08/28 18:22:28.160, 2475 MHz, 68, 60.90 W, 100 %
2026/08/28 18:22:29.164, 2355 MHz, 69, 61.24 W, 98 %
2026/08/28 18:22:30.167, 2355 MHz, 70, 62.04 W, 97 %
2026/08/28 18:22:31.169, 2325 MHz, 70, 62.15 W, 98 %
