timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:55:56.006, 210 MHz, 49, 2.63 W, 0 %
2026/08/28 23:55:57.026, 2550 MHz, 56, 52.75 W, 99 %
2026/08/28 23:55:58.040, 1935 MHz, 56, 47.45 W, 100 %
2026/08/28 23:55:59.056, 2145 MHz, 58, 52.42 W, 98 %
2026/08/28 23:56:00.071, 2190 MHz, 61, 53.85 W, 97 %
2026/08/28 23:56:01.086, 2295 MHz, 60, 56.17 W, 100 %
2026/08/28 23:56:02.106, 2310 MHz, 60, 57.04 W, 100 %
2026/08/28 23:56:03.126, 2310 MHz, 61, 59.10 W, 100 %
2026/08/28 23:56:04.143, 2280 MHz, 63, 60.60 W, 97 %
