timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:49:11.780, 210 MHz, 50, 3.91 W, 2 %
2026/08/28 23:49:12.796, 2055 MHz, 53, 52.77 W, 100 %
2026/08/28 23:49:13.810, 2370 MHz, 58, 54.20 W, 100 %
2026/08/28 23:49:14.825, 2415 MHz, 60, 56.40 W, 100 %
2026/08/28 23:49:15.840, 2415 MHz, 59, 57.28 W, 100 %
2026/08/28 23:49:16.860, 2355 MHz, 61, 59.64 W, 100 %
2026/08/28 23:49:17.876, 2520 MHz, 62, 61.81 W, 100 %
2026/08/28 23:49:18.891, 2370 MHz, 62, 73.20 W, 100 %
2026/08/28 23:49:19.907, 2385 MHz, 64, 63.59 W, 100 %
2026/08/28 23:49:20.922, 2595 MHz, 64, 64.29 W, 100 %
2026/08/28 23:49:21.938, 2550 MHz, 64, 64.39 W, 100 %
2026/08/28 23:49:22.951, 2445 MHz, 63, 64.24 W, 100 %
2026/08/28 23:49:23.966, 2565 MHz, 63, 64.21 W, 100 %
2026/08/28 23:49:24.980, 2595 MHz, 64, 63.92 W, 100 %
2026/08/28 23:49:25.994, 2550 MHz, 64, 63.75 W, 100 %
2026/08/28 23:49:27.010, 2550 MHz, 65, 63.77 W, 100 %
2026/08/28 23:49:28.047, 2520 MHz, 65, 62.72 W, 100 %
2026/08/28 23:49:28.621, 2505 MHz, 65, 62.42 W, 100 %
2026/08/28 23:49:29.639, 2535 MHz, 65, 63.89 W, 100 %
2026/08/28 23:49:30.657, 2520 MHz, 66, 62.83 W, 100 %
2026/08/28 23:49:31.675, 2550 MHz, 66, 63.22 W, 100 %
2026/08/28 23:49:32.702, 2535 MHz, 66, 63.06 W, 100 %
2026/08/28 23:49:33.715, 2550 MHz, 66, 63.88 W, 100 %
2026/08/28 23:49:34.728, 2535 MHz, 66, 63.72 W, 100 %
2026/08/28 23:49:35.741, 2535 MHz, 66, 64.71 W, 100 %
2026/08/28 23:49:36.756, 2520 MHz, 66, 63.61 W, 100 %
2026/08/28 23:49:37.773, 2445 MHz, 66, 63.81 W, 100 %
2026/08/28 23:49:38.805, 2535 MHz, 66, 64.18 W, 100 %
2026/08/28 23:49:39.834, 2415 MHz, 66, 64.51 W, 100 %
2026/08/28 23:49:40.880, 2415 MHz, 68, 63.51 W, 99 %
2026/08/28 23:49:41.912, 2430 MHz, 68, 64.99 W, 100 %
2026/08/28 23:49:42.941, 2400 MHz, 68, 65.26 W, 100 %
2026/08/28 23:49:43.968, 2415 MHz, 69, 63.40 W, 100 %
2026/08/28 23:49:44.984, 2385 MHz, 69, 64.57 W, 100 %
2026/08/28 23:49:45.997, 2400 MHz, 69, 65.22 W, 100 %
2026/08/28 23:49:47.014, 2400 MHz, 69, 64.96 W, 100 %
2026/08/28 23:49:48.029, 2400 MHz, 69, 64.88 W, 100 %
2026/08/28 23:49:49.047, 2400 MHz, 69, 64.53 W, 100 %
2026/08/28 23:49:50.062, 2415 MHz, 69, 65.04 W, 99 %
2026/08/28 23:49:51.077, 2430 MHz, 69, 64.73 W, 99 %
2026/08/28 23:49:52.093, 2370 MHz, 69, 64.51 W, 100 %
2026/08/28 23:49:53.108, 2400 MHz, 69, 64.51 W, 100 %
2026/08/28 23:49:54.122, 2385 MHz, 69, 64.75 W, 100 %
2026/08/28 23:49:55.137, 2400 MHz, 69, 64.11 W, 99 %
2026/08/28 23:49:56.156, 2370 MHz, 70, 64.66 W, 100 %
2026/08/28 23:49:57.170, 2370 MHz, 69, 65.25 W, 100 %
2026/08/28 23:49:58.185, 2385 MHz, 69, 63.28 W, 100 %
2026/08/28 23:49:59.214, 2325 MHz, 69, 64.07 W, 100 %
