timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:37:02.450, 210 MHz, 51, 4.04 W, 7 %
2026/08/28 23:37:03.471, 2280 MHz, 58, 49.75 W, 100 %
2026/08/28 23:37:04.495, 1905 MHz, 59, 42.48 W, 100 %
2026/08/28 23:37:05.518, 1950 MHz, 58, 45.75 W, 100 %
2026/08/28 23:37:06.538, 2010 MHz, 59, 46.28 W, 100 %
2026/08/28 23:37:07.559, 2220 MHz, 61, 50.69 W, 100 %
2026/08/28 23:37:08.582, 2310 MHz, 61, 53.77 W, 100 %
2026/08/28 23:37:09.602, 2190 MHz, 63, 54.52 W, 100 %
2026/08/28 23:37:10.634, 2265 MHz, 64, 56.73 W, 100 %
2026/08/28 23:37:11.679, 2295 MHz, 64, 56.48 W, 99 %
2026/08/28 23:37:12.714, 2370 MHz, 63, 56.13 W, 100 %
2026/08/28 23:37:13.738, 2385 MHz, 64, 57.98 W, 100 %
2026/08/28 23:37:14.781, 2370 MHz, 63, 57.37 W, 100 %
2026/08/28 23:37:15.805, 2280 MHz, 64, 54.00 W, 100 %
2026/08/28 23:37:16.826, 2295 MHz, 64, 55.70 W, 100 %
2026/08/28 23:37:17.853, 2385 MHz, 64, 63.74 W, 100 %
2026/08/28 23:37:18.879, 2355 MHz, 64, 56.41 W, 100 %
2026/08/28 23:37:19.911, 2370 MHz, 64, 58.84 W, 100 %
2026/08/28 23:37:20.933, 2415 MHz, 64, 57.84 W, 100 %
2026/08/28 23:37:21.960, 2235 MHz, 64, 54.43 W, 100 %
2026/08/28 23:37:22.986, 2190 MHz, 64, 52.60 W, 100 %
2026/08/28 23:37:24.010, 2235 MHz, 64, 55.71 W, 100 %
2026/08/28 23:37:25.032, 2265 MHz, 64, 55.48 W, 100 %
2026/08/28 23:37:26.054, 2295 MHz, 65, 57.75 W, 100 %
2026/08/28 23:37:27.074, 2430 MHz, 66, 58.29 W, 100 %
2026/08/28 23:37:28.096, 2295 MHz, 66, 58.47 W, 100 %
2026/08/28 23:37:28.554, 2490 MHz, 65, 59.28 W, 100 %
2026/08/28 23:37:29.575, 2430 MHz, 66, 59.77 W, 100 %
2026/08/28 23:37:30.595, 2430 MHz, 65, 58.02 W, 100 %
2026/08/28 23:37:31.622, 2295 MHz, 67, 59.96 W, 100 %
2026/08/28 23:37:32.644, 2325 MHz, 68, 59.99 W, 100 %
2026/08/28 23:37:33.665, 2310 MHz, 68, 60.73 W, 100 %
2026/08/28 23:37:34.685, 2325 MHz, 68, 61.51 W, 99 %
2026/08/28 23:37:35.707, 2325 MHz, 68, 61.28 W, 100 %
2026/08/28 23:37:36.730, 2325 MHz, 68, 67.64 W, 100 %
2026/08/28 23:37:37.752, 2310 MHz, 68, 61.76 W, 100 %
2026/08/28 23:37:38.776, 2325 MHz, 68, 60.28 W, 100 %
2026/08/28 23:37:39.814, 2235 MHz, 67, 53.09 W, 99 %
2026/08/28 23:37:40.843, 2205 MHz, 67, 55.47 W, 100 %
2026/08/28 23:37:41.905, 2220 MHz, 67, 54.88 W, 100 %
2026/08/28 23:37:42.929, 2250 MHz, 68, 55.37 W, 99 %
2026/08/28 23:37:43.953, 2220 MHz, 67, 55.93 W, 99 %
2026/08/28 23:37:44.976, 2190 MHz, 67, 55.63 W, 100 %
2026/08/28 23:37:45.999, 2265 MHz, 68, 57.91 W, 100 %
2026/08/28 23:37:47.020, 2295 MHz, 68, 58.77 W, 100 %
2026/08/28 23:37:48.041, 2310 MHz, 69, 59.86 W, 100 %
2026/08/28 23:37:49.063, 2325 MHz, 68, 60.41 W, 99 %
2026/08/28 23:37:50.085, 2310 MHz, 69, 59.66 W, 100 %
2026/08/28 23:37:51.107, 2310 MHz, 69, 60.08 W, 100 %
2026/08/28 23:37:52.134, 2310 MHz, 69, 60.54 W, 100 %
2026/08/28 23:37:53.155, 2310 MHz, 69, 59.75 W, 100 %
2026/08/28 23:37:54.175, 2295 MHz, 68, 56.70 W, 100 %
2026/08/28 23:37:55.202, 2235 MHz, 68, 56.80 W, 99 %
