timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 16:35:26.097, 210 MHz, 47, 1.81 W, 0 %
2026/08/28 16:35:27.102, 930 MHz, 48, 24.14 W, 100 %
2026/08/28 16:35:28.104, 1215 MHz, 50, 26.09 W, 100 %
2026/08/28 16:35:29.106, 1515 MHz, 51, 33.60 W, 100 %
2026/08/28 16:35:30.108, 1965 MHz, 54, 46.25 W, 99 %
2026/08/28 16:35:31.111, 2145 MHz, 58, 49.12 W, 98 %
2026/08/28 16:35:32.112, 2265 MHz, 59, 48.93 W, 100 %
2026/08/28 16:35:33.117, 2295 MHz, 58, 49.77 W, 100 %
2026/08/28 16:35:34.119, 2310 MHz, 59, 51.52 W, 100 %
2026/08/28 16:35:35.121, 2415 MHz, 60, 57.12 W, 98 %
