timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:34:48.371, 210 MHz, 51, 4.00 W, 7 %
2026/08/28 23:34:48.728, 2625 MHz, 57, 57.99 W, 99 %
2026/08/28 23:34:49.752, 2055 MHz, 58, 46.39 W, 100 %
2026/08/28 23:34:50.766, 2235 MHz, 59, 48.56 W, 100 %
2026/08/28 23:34:51.782, 2340 MHz, 60, 54.32 W, 100 %
2026/08/28 23:34:52.797, 2325 MHz, 62, 57.42 W, 99 %
2026/08/28 23:34:53.813, 2355 MHz, 63, 59.19 W, 99 %
2026/08/28 23:34:54.833, 2490 MHz, 62, 61.01 W, 100 %
2026/08/28 23:34:55.878, 2505 MHz, 62, 60.01 W, 100 %
2026/08/28 23:34:56.897, 2595 MHz, 62, 60.81 W, 100 %
2026/08/28 23:34:57.920, 2550 MHz, 63, 61.74 W, 100 %
2026/08/28 23:34:58.942, 2610 MHz, 63, 63.85 W, 100 %
2026/08/28 23:34:59.967, 2625 MHz, 63, 63.14 W, 100 %
2026/08/28 23:35:00.990, 2550 MHz, 64, 62.92 W, 100 %
2026/08/28 23:35:02.013, 2580 MHz, 65, 63.79 W, 100 %
2026/08/28 23:35:03.040, 2550 MHz, 65, 71.34 W, 100 %
2026/08/28 23:35:04.073, 2610 MHz, 65, 63.16 W, 100 %
2026/08/28 23:35:05.102, 2595 MHz, 64, 62.36 W, 100 %
2026/08/28 23:35:06.151, 2505 MHz, 65, 61.42 W, 100 %
2026/08/28 23:35:07.181, 2550 MHz, 66, 62.15 W, 100 %
2026/08/28 23:35:08.211, 2595 MHz, 66, 62.10 W, 99 %
2026/08/28 23:35:09.246, 2400 MHz, 67, 60.75 W, 99 %
2026/08/28 23:35:10.273, 2385 MHz, 67, 60.43 W, 99 %
2026/08/28 23:35:11.294, 2370 MHz, 67, 59.12 W, 99 %
2026/08/28 23:35:12.319, 2385 MHz, 68, 60.08 W, 99 %
2026/08/28 23:35:13.340, 2400 MHz, 68, 61.04 W, 99 %
2026/08/28 23:35:14.362, 2400 MHz, 68, 61.24 W, 99 %
2026/08/28 23:35:15.386, 2385 MHz, 68, 60.89 W, 99 %
2026/08/28 23:35:16.407, 2415 MHz, 68, 62.51 W, 99 %
2026/08/28 23:35:17.431, 2445 MHz, 68, 63.04 W, 99 %
2026/08/28 23:35:18.452, 2400 MHz, 69, 62.15 W, 99 %
2026/08/28 23:35:19.472, 2400 MHz, 68, 61.96 W, 99 %
2026/08/28 23:35:20.498, 2400 MHz, 68, 61.58 W, 99 %
2026/08/28 23:35:20.923, 2400 MHz, 69, 62.11 W, 100 %
2026/08/28 23:35:21.945, 2400 MHz, 69, 63.07 W, 99 %
2026/08/28 23:35:22.970, 2550 MHz, 67, 62.58 W, 100 %
2026/08/28 23:35:23.991, 2505 MHz, 66, 62.87 W, 100 %
2026/08/28 23:35:25.015, 2490 MHz, 65, 61.11 W, 100 %
2026/08/28 23:35:26.036, 2535 MHz, 67, 61.24 W, 100 %
2026/08/28 23:35:27.064, 2535 MHz, 66, 61.22 W, 100 %
2026/08/28 23:35:28.085, 2520 MHz, 66, 61.10 W, 100 %
2026/08/28 23:35:29.107, 2550 MHz, 67, 61.27 W, 100 %
2026/08/28 23:35:30.130, 2505 MHz, 66, 61.66 W, 100 %
2026/08/28 23:35:31.154, 2550 MHz, 66, 61.40 W, 100 %
2026/08/28 23:35:32.175, 2475 MHz, 66, 61.77 W, 100 %
2026/08/28 23:35:33.196, 2505 MHz, 66, 63.23 W, 100 %
2026/08/28 23:35:34.221, 2550 MHz, 67, 59.74 W, 100 %
2026/08/28 23:35:35.249, 2460 MHz, 66, 56.66 W, 100 %
2026/08/28 23:35:36.278, 2460 MHz, 66, 60.35 W, 100 %
2026/08/28 23:35:37.302, 2520 MHz, 66, 66.95 W, 100 %
2026/08/28 23:35:38.352, 2460 MHz, 66, 61.04 W, 100 %
2026/08/28 23:35:39.377, 2505 MHz, 67, 59.44 W, 100 %
2026/08/28 23:35:40.415, 2550 MHz, 66, 61.14 W, 100 %
2026/08/28 23:35:41.438, 2400 MHz, 67, 62.23 W, 100 %
2026/08/28 23:35:42.461, 2535 MHz, 66, 60.99 W, 100 %
2026/08/28 23:35:43.483, 2460 MHz, 66, 62.11 W, 100 %
2026/08/28 23:35:44.510, 2490 MHz, 67, 61.86 W, 100 %
2026/08/28 23:35:45.537, 2505 MHz, 66, 61.38 W, 100 %
2026/08/28 23:35:46.559, 2460 MHz, 67, 62.89 W, 100 %
2026/08/28 23:35:47.581, 2460 MHz, 66, 60.83 W, 100 %
2026/08/28 23:35:48.610, 2460 MHz, 66, 61.47 W, 100 %
2026/08/28 23:35:49.633, 2535 MHz, 67, 61.03 W, 100 %
2026/08/28 23:35:50.655, 2535 MHz, 66, 61.73 W, 100 %
2026/08/28 23:35:51.676, 2385 MHz, 69, 62.01 W, 99 %
2026/08/28 23:35:52.696, 2415 MHz, 69, 62.49 W, 99 %
2026/08/28 23:35:53.104, 2430 MHz, 70, 62.33 W, 99 %
2026/08/28 23:35:54.126, 2385 MHz, 70, 62.29 W, 99 %
2026/08/28 23:35:55.151, 2385 MHz, 69, 60.56 W, 99 %
2026/08/28 23:35:56.175, 2370 MHz, 69, 61.05 W, 99 %
2026/08/28 23:35:57.200, 2370 MHz, 69, 60.60 W, 99 %
