timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:51:22.000, 210 MHz, 53, 4.79 W, 7 %
2026/08/28 23:51:23.025, 2505 MHz, 59, 50.82 W, 100 %
2026/08/28 23:51:24.043, 2175 MHz, 61, 48.12 W, 100 %
2026/08/28 23:51:25.060, 2190 MHz, 60, 50.92 W, 100 %
2026/08/28 23:51:26.077, 2370 MHz, 61, 52.67 W, 100 %
2026/08/28 23:51:27.096, 2445 MHz, 62, 55.56 W, 99 %
2026/08/28 23:51:28.113, 2385 MHz, 65, 57.41 W, 98 %
2026/08/28 23:51:29.130, 2415 MHz, 66, 58.99 W, 97 %
2026/08/28 23:51:30.152, 2550 MHz, 65, 59.46 W, 100 %
2026/08/28 23:51:31.170, 2580 MHz, 64, 61.13 W, 100 %
2026/08/28 23:51:32.188, 2580 MHz, 65, 62.11 W, 100 %
2026/08/28 23:51:33.208, 2595 MHz, 65, 62.23 W, 100 %
2026/08/28 23:51:34.226, 2595 MHz, 65, 62.76 W, 99 %
2026/08/28 23:51:35.247, 2595 MHz, 65, 61.91 W, 100 %
2026/08/28 23:51:36.264, 2505 MHz, 68, 61.49 W, 97 %
