timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 18:20:30.018, 210 MHz, 50, 3.02 W, 0 %
2026/08/28 18:20:31.025, 2055 MHz, 53, 46.37 W, 99 %
2026/08/28 18:20:32.030, 1950 MHz, 57, 45.41 W, 100 %
2026/08/28 18:20:33.032, 2055 MHz, 60, 50.29 W, 99 %
2026/08/28 18:20:34.035, 2235 MHz, 60, 52.42 W, 100 %
2026/08/28 18:20:35.038, 2310 MHz, 61, 52.75 W, 100 %
2026/08/28 18:20:36.039, 2370 MHz, 61, 56.41 W, 100 %
2026/08/28 18:20:37.041, 2445 MHz, 62, 60.33 W, 100 %
2026/08/28 18:20:38.046, 2415 MHz, 63, 59.03 W, 100 %
2026/08/28 18:20:39.049, 2250 MHz, 65, 61.40 W, 99 %
2026/08/28 18:20:40.052, 2280 MHz, 65, 63.12 W, 98 %
2026/08/28 18:20:41.074, 2310 MHz, 66, 64.14 W, 98 %
2026/08/28 18:20:42.086, 2295 MHz, 66, 62.48 W, 98 %
2026/08/28 18:20:43.089, 2295 MHz, 67, 63.76 W, 99 %
2026/08/28 18:20:44.098, 2520 MHz, 66, 61.85 W, 100 %
2026/08/28 18:20:45.103, 2490 MHz, 66, 61.61 W, 100 %
2026/08/28 18:20:46.117, 2550 MHz, 66, 62.01 W, 100 %
2026/08/28 18:20:47.121, 2505 MHz, 67, 62.74 W, 100 %
2026/08/28 18:20:48.122, 2460 MHz, 66, 62.18 W, 100 %
2026/08/28 18:20:49.125, 2535 MHz, 67, 62.78 W, 100 %
2026/08/28 18:20:50.127, 2505 MHz, 67, 63.63 W, 100 %
2026/08/28 18:20:51.136, 2520 MHz, 67, 62.63 W, 100 %
2026/08/28 18:20:52.139, 2445 MHz, 67, 62.43 W, 100 %
2026/08/28 18:20:53.141, 2445 MHz, 67, 61.25 W, 100 %
2026/08/28 18:20:54.143, 2280 MHz, 68, 61.77 W, 98 %
2026/08/28 18:20:55.148, 2265 MHz, 69, 62.28 W, 98 %
