timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 16:08:46.837, 210 MHz, 52, 2.11 W, 0 %
2026/08/28 16:08:47.840, 345 MHz, 52, 21.40 W, 99 %
2026/08/28 16:08:48.844, 1230 MHz, 55, 25.86 W, 100 %
2026/08/28 16:08:49.846, 1605 MHz, 56, 30.96 W, 99 %
2026/08/28 16:08:50.850, 2040 MHz, 59, 43.80 W, 100 %
2026/08/28 16:08:51.857, 2205 MHz, 60, 46.91 W, 100 %
2026/08/28 16:08:52.861, 2325 MHz, 61, 48.46 W, 100 %
2026/08/28 16:08:53.864, 2370 MHz, 62, 53.12 W, 100 %
2026/08/28 16:08:54.866, 2475 MHz, 63, 55.08 W, 100 %
2026/08/28 16:08:55.868, 2295 MHz, 65, 55.60 W, 99 %
2026/08/28 16:08:56.869, 2325 MHz, 66, 58.18 W, 99 %
2026/08/28 16:08:57.874, 2250 MHz, 66, 53.65 W, 98 %
2026/08/28 16:08:58.876, 2295 MHz, 67, 56.57 W, 98 %
2026/08/28 16:08:59.888, 2325 MHz, 67, 58.01 W, 98 %
2026/08/28 16:09:00.890, 2355 MHz, 68, 60.01 W, 99 %
2026/08/28 16:09:01.893, 2595 MHz, 67, 61.57 W, 100 %
2026/08/28 16:09:02.896, 2610 MHz, 67, 62.46 W, 100 %
2026/08/28 16:09:03.898, 2550 MHz, 68, 59.68 W, 100 %
2026/08/28 16:09:04.900, 2610 MHz, 68, 62.79 W, 100 %
2026/08/28 16:09:05.903, 2595 MHz, 68, 63.57 W, 99 %
2026/08/28 16:09:06.909, 2610 MHz, 68, 63.61 W, 100 %
2026/08/28 16:09:07.913, 2640 MHz, 69, 64.20 W, 100 %
2026/08/28 16:09:08.916, 2640 MHz, 68, 63.71 W, 100 %
2026/08/28 16:09:09.919, 2625 MHz, 69, 63.91 W, 100 %
2026/08/28 16:09:10.921, 2400 MHz, 69, 62.78 W, 99 %
2026/08/28 16:09:11.924, 2370 MHz, 71, 64.32 W, 99 %
2026/08/28 16:09:12.926, 2385 MHz, 71, 64.83 W, 98 %
