timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:53:37.920, 210 MHz, 52, 4.09 W, 0 %
2026/08/28 23:53:38.937, 2610 MHz, 60, 57.19 W, 98 %
2026/08/28 23:53:39.954, 2040 MHz, 59, 46.37 W, 100 %
2026/08/28 23:53:40.974, 2190 MHz, 60, 50.21 W, 100 %
2026/08/28 23:53:41.991, 2235 MHz, 60, 52.55 W, 100 %
2026/08/28 23:53:43.008, 2340 MHz, 62, 55.60 W, 100 %
2026/08/28 23:53:44.024, 2430 MHz, 63, 58.42 W, 100 %
2026/08/28 23:53:44.571, 2445 MHz, 63, 58.69 W, 100 %
2026/08/28 23:53:45.588, 2475 MHz, 64, 61.16 W, 100 %
2026/08/28 23:53:46.609, 2490 MHz, 64, 62.83 W, 99 %
2026/08/28 23:53:47.626, 2550 MHz, 65, 63.26 W, 100 %
2026/08/28 23:53:48.646, 2535 MHz, 65, 62.78 W, 100 %
2026/08/28 23:53:49.666, 2535 MHz, 65, 62.69 W, 99 %
2026/08/28 23:53:50.691, 2505 MHz, 65, 62.57 W, 100 %
2026/08/28 23:53:51.710, 2505 MHz, 66, 62.78 W, 100 %
2026/08/28 23:53:52.727, 2505 MHz, 66, 62.80 W, 99 %
2026/08/28 23:53:53.746, 2505 MHz, 66, 63.05 W, 100 %
2026/08/28 23:53:54.766, 2535 MHz, 67, 63.56 W, 100 %
2026/08/28 23:53:55.785, 2505 MHz, 66, 63.35 W, 99 %
2026/08/28 23:53:56.809, 2535 MHz, 66, 62.94 W, 100 %
2026/08/28 23:53:57.832, 2505 MHz, 66, 61.05 W, 100 %
2026/08/28 23:53:58.854, 2520 MHz, 66, 61.10 W, 100 %
