timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:46:58.837, 210 MHz, 50, 3.82 W, 1 %
2026/08/28 23:46:59.864, 2730 MHz, 58, 62.36 W, 99 %
2026/08/28 23:47:00.895, 2295 MHz, 58, 52.19 W, 100 %
2026/08/28 23:47:01.921, 2370 MHz, 58, 54.13 W, 100 %
2026/08/28 23:47:02.933, 2400 MHz, 60, 58.46 W, 100 %
2026/08/28 23:47:03.947, 2355 MHz, 63, 58.59 W, 99 %
2026/08/28 23:47:04.959, 2385 MHz, 64, 61.02 W, 100 %
2026/08/28 23:47:05.975, 2550 MHz, 62, 62.55 W, 100 %
2026/08/28 23:47:06.989, 2595 MHz, 62, 62.30 W, 100 %
2026/08/28 23:47:08.003, 2640 MHz, 63, 63.00 W, 100 %
2026/08/28 23:47:09.018, 2640 MHz, 63, 63.51 W, 100 %
2026/08/28 23:47:10.037, 2595 MHz, 63, 62.50 W, 100 %
2026/08/28 23:47:11.051, 2580 MHz, 64, 62.54 W, 100 %
2026/08/28 23:47:12.071, 2565 MHz, 65, 63.83 W, 100 %
2026/08/28 23:47:13.086, 2565 MHz, 64, 63.70 W, 100 %
2026/08/28 23:47:14.106, 2610 MHz, 64, 63.36 W, 100 %
2026/08/28 23:47:15.125, 2580 MHz, 64, 64.09 W, 100 %
2026/08/28 23:47:16.145, 2535 MHz, 64, 63.33 W, 100 %
2026/08/28 23:47:17.159, 2535 MHz, 65, 63.47 W, 100 %
2026/08/28 23:47:18.174, 2610 MHz, 65, 63.92 W, 100 %
2026/08/28 23:47:19.209, 2430 MHz, 65, 62.98 W, 99 %
2026/08/28 23:47:20.224, 2445 MHz, 68, 64.19 W, 99 %
2026/08/28 23:47:20.828, 2430 MHz, 68, 64.25 W, 99 %
2026/08/28 23:47:21.841, 2445 MHz, 68, 64.38 W, 99 %
2026/08/28 23:47:22.856, 2460 MHz, 68, 64.61 W, 99 %
2026/08/28 23:47:23.871, 2475 MHz, 68, 64.58 W, 99 %
2026/08/28 23:47:24.890, 2445 MHz, 69, 64.66 W, 99 %
2026/08/28 23:47:25.903, 2445 MHz, 69, 64.92 W, 99 %
2026/08/28 23:47:26.919, 2460 MHz, 69, 64.35 W, 99 %
2026/08/28 23:47:27.933, 2460 MHz, 69, 64.23 W, 99 %
2026/08/28 23:47:28.954, 2460 MHz, 69, 64.57 W, 99 %
2026/08/28 23:47:29.994, 2460 MHz, 69, 64.47 W, 99 %
2026/08/28 23:47:31.032, 2460 MHz, 69, 64.54 W, 99 %
2026/08/28 23:47:32.071, 2475 MHz, 69, 64.96 W, 99 %
2026/08/28 23:47:33.108, 2460 MHz, 70, 64.76 W, 100 %
2026/08/28 23:47:34.120, 2640 MHz, 67, 63.96 W, 100 %
2026/08/28 23:47:35.138, 2595 MHz, 66, 64.26 W, 100 %
2026/08/28 23:47:36.151, 2580 MHz, 66, 63.76 W, 100 %
2026/08/28 23:47:37.168, 2550 MHz, 66, 63.30 W, 100 %
2026/08/28 23:47:38.198, 2535 MHz, 66, 61.64 W, 100 %
2026/08/28 23:47:39.236, 2520 MHz, 67, 60.19 W, 100 %
2026/08/28 23:47:40.267, 2490 MHz, 67, 61.81 W, 100 %
2026/08/28 23:47:41.301, 2505 MHz, 67, 61.76 W, 100 %
2026/08/28 23:47:42.334, 2505 MHz, 67, 61.05 W, 100 %
2026/08/28 23:47:43.364, 2460 MHz, 66, 60.58 W, 100 %
2026/08/28 23:47:44.395, 2520 MHz, 66, 62.52 W, 100 %
2026/08/28 23:47:45.412, 2490 MHz, 66, 61.91 W, 100 %
2026/08/28 23:47:46.421, 2550 MHz, 66, 62.48 W, 100 %
2026/08/28 23:47:47.434, 2550 MHz, 67, 62.64 W, 100 %
2026/08/28 23:47:48.448, 2550 MHz, 67, 63.76 W, 100 %
2026/08/28 23:47:49.459, 2535 MHz, 67, 63.21 W, 100 %
2026/08/28 23:47:50.472, 2535 MHz, 67, 64.01 W, 100 %
2026/08/28 23:47:51.496, 2580 MHz, 68, 63.86 W, 100 %
2026/08/28 23:47:52.509, 2550 MHz, 67, 63.75 W, 100 %
2026/08/28 23:47:53.016, 2565 MHz, 67, 63.68 W, 100 %
2026/08/28 23:47:54.023, 2565 MHz, 67, 63.67 W, 100 %
2026/08/28 23:47:55.027, 2565 MHz, 67, 62.77 W, 100 %
2026/08/28 23:47:56.030, 2550 MHz, 67, 62.97 W, 100 %
2026/08/28 23:47:57.034, 2580 MHz, 68, 64.03 W, 100 %
2026/08/28 23:47:58.037, 2565 MHz, 68, 63.82 W, 100 %
2026/08/28 23:47:59.040, 2565 MHz, 67, 63.57 W, 100 %
2026/08/28 23:48:00.043, 2595 MHz, 67, 63.98 W, 100 %
2026/08/28 23:48:01.047, 2430 MHz, 70, 64.28 W, 99 %
2026/08/28 23:48:02.111, 2460 MHz, 70, 64.49 W, 99 %
2026/08/28 23:48:03.174, 2445 MHz, 70, 64.74 W, 100 %
2026/08/28 23:48:04.237, 2430 MHz, 70, 64.50 W, 100 %
2026/08/28 23:48:05.303, 2445 MHz, 70, 64.70 W, 99 %
2026/08/28 23:48:06.352, 2445 MHz, 70, 63.93 W, 99 %
2026/08/28 23:48:07.366, 2445 MHz, 70, 63.94 W, 99 %
