timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 16:29:08.658, 210 MHz, 49, 1.96 W, 0 %
2026/08/28 16:29:09.661, 360 MHz, 49, 24.80 W, 100 %
2026/08/28 16:29:10.669, 1155 MHz, 52, 26.20 W, 100 %
2026/08/28 16:29:11.670, 1515 MHz, 54, 31.97 W, 100 %
2026/08/28 16:29:12.671, 1965 MHz, 55, 41.78 W, 100 %
2026/08/28 16:29:13.673, 2415 MHz, 58, 48.80 W, 100 %
2026/08/28 16:29:14.675, 2280 MHz, 58, 47.53 W, 100 %
2026/08/28 16:29:15.679, 2460 MHz, 60, 52.00 W, 100 %
2026/08/28 16:29:16.681, 2340 MHz, 62, 53.98 W, 100 %
2026/08/28 16:29:17.682, 2370 MHz, 63, 57.14 W, 100 %
2026/08/28 16:29:18.684, 2415 MHz, 63, 59.10 W, 100 %
2026/08/28 16:29:19.686, 2685 MHz, 62, 56.64 W, 100 %
2026/08/28 16:29:20.692, 2685 MHz, 62, 58.33 W, 100 %
2026/08/28 16:29:21.694, 2685 MHz, 63, 58.56 W, 100 %
2026/08/28 16:29:22.696, 2670 MHz, 64, 58.89 W, 100 %
2026/08/28 16:29:23.701, 2685 MHz, 64, 60.12 W, 100 %
2026/08/28 16:29:24.702, 2670 MHz, 65, 59.63 W, 100 %
2026/08/28 16:29:25.705, 2580 MHz, 65, 59.27 W, 100 %
2026/08/28 16:29:26.708, 2610 MHz, 66, 59.89 W, 100 %
2026/08/28 16:29:27.711, 2670 MHz, 64, 59.37 W, 100 %
2026/08/28 16:29:28.713, 2625 MHz, 65, 62.58 W, 100 %
2026/08/28 16:29:29.722, 2715 MHz, 65, 60.09 W, 100 %
2026/08/28 16:29:30.724, 2715 MHz, 65, 60.02 W, 100 %
2026/08/28 16:29:31.726, 2670 MHz, 65, 60.26 W, 100 %
2026/08/28 16:29:32.728, 2655 MHz, 65, 58.95 W, 100 %
2026/08/28 16:29:33.733, 2670 MHz, 65, 58.98 W, 100 %
2026/08/28 16:29:34.735, 2595 MHz, 65, 59.91 W, 100 %
2026/08/28 16:29:35.738, 2700 MHz, 66, 59.97 W, 100 %
2026/08/28 16:29:36.740, 2655 MHz, 67, 58.85 W, 100 %
2026/08/28 16:29:37.743, 2580 MHz, 67, 59.07 W, 100 %
2026/08/28 16:29:38.745, 2595 MHz, 67, 60.10 W, 100 %
2026/08/28 16:29:39.747, 2595 MHz, 67, 61.70 W, 100 %
2026/08/28 16:29:40.753, 2445 MHz, 68, 63.54 W, 100 %
2026/08/28 16:29:41.755, 2445 MHz, 68, 64.93 W, 100 %
2026/08/28 16:29:42.757, 2460 MHz, 69, 65.36 W, 100 %
2026/08/28 16:29:43.760, 2475 MHz, 69, 66.00 W, 100 %
2026/08/28 16:29:44.765, 2490 MHz, 69, 65.46 W, 100 %
2026/08/28 16:29:45.768, 2445 MHz, 70, 64.77 W, 100 %
2026/08/28 16:29:46.770, 2460 MHz, 69, 65.26 W, 99 %
2026/08/28 16:29:47.773, 2475 MHz, 70, 64.88 W, 100 %
2026/08/28 16:29:48.775, 2505 MHz, 70, 65.20 W, 100 %
2026/08/28 16:29:49.779, 2475 MHz, 70, 64.97 W, 100 %
2026/08/28 16:29:50.781, 2490 MHz, 69, 65.24 W, 100 %
2026/08/28 16:29:51.783, 2475 MHz, 70, 65.03 W, 100 %
2026/08/28 16:29:52.786, 2475 MHz, 69, 64.98 W, 99 %
2026/08/28 16:29:53.788, 2475 MHz, 69, 65.41 W, 100 %
2026/08/28 16:29:54.791, 2460 MHz, 70, 64.97 W, 100 %
2026/08/28 16:29:55.793, 2445 MHz, 70, 64.52 W, 100 %
2026/08/28 16:29:56.795, 2460 MHz, 70, 64.94 W, 100 %
2026/08/28 16:29:57.799, 2475 MHz, 70, 63.58 W, 99 %
2026/08/28 16:29:58.802, 2445 MHz, 69, 64.10 W, 100 %
2026/08/28 16:29:59.806, 2445 MHz, 70, 64.84 W, 100 %
2026/08/28 16:30:00.809, 2445 MHz, 70, 64.25 W, 99 %
2026/08/28 16:30:01.812, 2460 MHz, 70, 64.38 W, 100 %
2026/08/28 16:30:02.814, 2625 MHz, 70, 63.21 W, 100 %
2026/08/28 16:30:03.817, 2715 MHz, 67, 61.42 W, 100 %
2026/08/28 16:30:04.820, 2700 MHz, 67, 60.93 W, 100 %
2026/08/28 16:30:05.822, 2655 MHz, 68, 60.52 W, 100 %
2026/08/28 16:30:06.825, 2670 MHz, 68, 60.24 W, 100 %
2026/08/28 16:30:07.827, 2670 MHz, 68, 61.24 W, 100 %
2026/08/28 16:30:08.832, 2655 MHz, 69, 59.68 W, 100 %
2026/08/28 16:30:09.835, 2670 MHz, 67, 59.86 W, 100 %
2026/08/28 16:30:10.837, 2715 MHz, 69, 59.75 W, 100 %
2026/08/28 16:30:11.849, 2700 MHz, 69, 60.35 W, 100 %
2026/08/28 16:30:12.852, 2670 MHz, 69, 60.17 W, 100 %
2026/08/28 16:30:13.855, 2655 MHz, 68, 60.34 W, 100 %
2026/08/28 16:30:14.857, 2655 MHz, 67, 60.43 W, 100 %
2026/08/28 16:30:15.860, 2655 MHz, 67, 60.02 W, 100 %
2026/08/28 16:30:16.863, 2670 MHz, 67, 60.36 W, 100 %
2026/08/28 16:30:17.865, 2700 MHz, 67, 60.56 W, 100 %
2026/08/28 16:30:18.869, 2700 MHz, 67, 61.72 W, 100 %
2026/08/28 16:30:19.871, 2670 MHz, 68, 60.42 W, 100 %
2026/08/28 16:30:20.873, 2670 MHz, 69, 60.44 W, 100 %
2026/08/28 16:30:21.875, 2655 MHz, 68, 60.53 W, 100 %
2026/08/28 16:30:22.878, 2685 MHz, 69, 60.18 W, 100 %
2026/08/28 16:30:23.880, 2700 MHz, 69, 60.09 W, 100 %
2026/08/28 16:30:24.882, 2580 MHz, 68, 61.99 W, 100 %
2026/08/28 16:30:25.885, 2685 MHz, 69, 59.83 W, 100 %
2026/08/28 16:30:26.888, 2670 MHz, 69, 60.03 W, 100 %
2026/08/28 16:30:27.890, 2715 MHz, 68, 60.06 W, 100 %
2026/08/28 16:30:28.892, 2655 MHz, 69, 62.05 W, 100 %
2026/08/28 16:30:29.898, 2670 MHz, 69, 60.15 W, 100 %
2026/08/28 16:30:30.900, 2655 MHz, 69, 59.98 W, 100 %
2026/08/28 16:30:31.903, 2655 MHz, 68, 60.51 W, 100 %
2026/08/28 16:30:32.904, 2580 MHz, 68, 60.18 W, 100 %
2026/08/28 16:30:33.907, 2685 MHz, 68, 60.75 W, 100 %
2026/08/28 16:30:34.909, 2685 MHz, 68, 60.85 W, 100 %
2026/08/28 16:30:35.911, 2685 MHz, 68, 62.00 W, 100 %
2026/08/28 16:30:36.916, 2670 MHz, 69, 63.53 W, 100 %
2026/08/28 16:30:37.919, 2670 MHz, 68, 60.06 W, 100 %
2026/08/28 16:30:38.923, 2655 MHz, 68, 60.03 W, 100 %
2026/08/28 16:30:39.926, 2640 MHz, 68, 60.39 W, 100 %
2026/08/28 16:30:40.929, 2670 MHz, 68, 60.52 W, 100 %
2026/08/28 16:30:41.933, 2670 MHz, 68, 60.32 W, 100 %
2026/08/28 16:30:42.936, 2715 MHz, 68, 60.35 W, 100 %
2026/08/28 16:30:43.939, 2655 MHz, 68, 62.45 W, 100 %
2026/08/28 16:30:44.942, 2445 MHz, 71, 64.35 W, 100 %
2026/08/28 16:30:45.945, 2445 MHz, 70, 61.86 W, 99 %
2026/08/28 16:30:46.948, 2430 MHz, 70, 61.88 W, 100 %
2026/08/28 16:30:47.951, 2445 MHz, 71, 62.84 W, 100 %
2026/08/28 16:30:48.953, 2430 MHz, 70, 63.34 W, 100 %
2026/08/28 16:30:49.956, 2445 MHz, 71, 61.29 W, 99 %
2026/08/28 16:30:50.960, 2445 MHz, 71, 63.48 W, 100 %
2026/08/28 16:30:51.963, 2445 MHz, 71, 63.35 W, 99 %
2026/08/28 16:30:52.969, 2475 MHz, 71, 64.17 W, 100 %
2026/08/28 16:30:53.971, 2445 MHz, 72, 64.38 W, 100 %
2026/08/28 16:30:54.974, 2445 MHz, 72, 64.32 W, 100 %
