timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 18:24:46.580, 210 MHz, 52, 2.26 W, 0 %
2026/08/28 18:24:47.584, 2460 MHz, 57, 53.95 W, 99 %
2026/08/28 18:24:48.587, 2070 MHz, 59, 48.47 W, 100 %
2026/08/28 18:24:49.612, 2070 MHz, 60, 50.99 W, 98 %
2026/08/28 18:24:50.614, 2145 MHz, 63, 48.68 W, 94 %
2026/08/28 18:24:51.616, 2010 MHz, 62, 45.52 W, 99 %
2026/08/28 18:24:52.627, 1890 MHz, 61, 45.12 W, 100 %
2026/08/28 18:24:53.629, 1965 MHz, 61, 47.24 W, 100 %
2026/08/28 18:24:54.631, 2085 MHz, 62, 49.29 W, 98 %
